Id,FirstName,LastName,Organization,Department,Division,Quater,Month,Week,Stock,Amount
1,Gisele,Antcliffe,JPMorgan,Client,Sales,Autumn,June,First,544,15277
2,Lanny,Dahlen,Cannon,Platform,Finance,Fall,March,First,455,44874
3,Liza,Espinha,JPMorgan,Product,Finance,Summer,July,Fourth,750,26341
4,Karoly,Butrimovich,Lenovo,Product,Finance,Fall,September,Third,919,11982
5,Gabie,Giggs,Dell,Product,Sales,Winter,June,First,570,49836
6,Wiley,Wellstead,HP,Platform,Sales,Fall,September,Fourth,244,72374
7,Ofilia,Loughren,Dell,Client,Development,Summer,January,Fourth,806,54424
8,Julio,Terris,JPMorgan,Platform,Sales,Winter,August,Fourth,831,22710
9,Antons,Barrie,Cannon,Platform,Finance,Autumn,August,Fifth,779,42141
10,Jacobo,Klugel,JPMorgan,Platform,Quality Analysis,Winter,March,First,200,67923
11,Waite,Salack,JPMorgan,Platform,Finance,Fall,November,Second,767,91164
12,Jorey,Gillani,HP,Product,Development,Winter,March,First,321,76803
13,Iver,Row,Cannon,Client,Sales,Winter,April,Fifth,901,47832
14,Blanch,Scarsbrick,Fiserv,Project,Quality Analysis,Autumn,November,Second,265,53225
15,Martino,Payley,JPMorgan,Platform,Development,Summer,August,Second,145,32077
16,Umeko,Palia,Lenovo,Product,Finance,Winter,March,First,761,68653
17,Halie,Cucuzza,JPMorgan,Platform,Finance,Winter,May,Second,395,77879
18,Clay,Matysiak,Dell,Client,Finance,Winter,March,Fifth,587,99347
19,Gypsy,Demko,JPMorgan,Product,Development,Fall,December,Second,436,42766
20,Babara,Cottem,JPMorgan,Project,Development,Summer,October,First,586,15290
21,Lay,Olpin,Fiserv,Client,Sales,Autumn,December,Fourth,981,66030
22,Shirley,Morphew,Cannon,Platform,Sales,Winter,March,First,342,57822
23,Winfield,Sieghart,HP,Platform,Finance,Autumn,April,Fifth,171,49662
24,Vinnie,Quested,JPMorgan,Product,Sales,Autumn,August,First,883,56400
25,Darleen,Ambroise,Lenovo,Client,Sales,Fall,August,Fourth,459,16800
26,Janot,Matherson,Lenovo,Platform,Finance,Winter,December,First,571,42397
27,Reynolds,Springford,JPMorgan,Platform,Development,Winter,June,Fourth,975,91721
28,Grant,Conman,HP,Product,Sales,Autumn,August,Fourth,112,56864
29,Aridatha,Vickors,Fiserv,Platform,Finance,Summer,May,Second,656,39092
30,Jackson,Queste,HP,Product,Quality Analysis,Fall,August,Fourth,577,68485
31,Denis,Groveham,Dell,Project,Finance,Winter,September,Fourth,819,20170
32,Myrah,Colbrun,JPMorgan,Client,Quality Analysis,Autumn,May,First,591,22070
33,Melisa,Hinz,HP,Client,Quality Analysis,Fall,Feburary,First,326,50145
